identifier,title,date,year,service_code,service,speaker,book,passage,chapter,verses,audio_mp3,audio_ogg,details_url,size_bytes
2017.01.01.E2Samuel13.2139JackWerth,2017.01.01.E 2 Samuel 13.21-39 - Jack Werth,2017-01-01,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 13:21-39,13,21-39,https://archive.org/download/2017.01.01.E2Samuel13.2139JackWerth/2017.01.01.E%202%20Samuel%2013.21-39%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.01.E2Samuel13.2139JackWerth/2017.01.01.E%202%20Samuel%2013.21-39%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.01.E2Samuel13.2139JackWerth,68687460
2017.01.01.MHabakkuk2.911JackWerth,2017.01.01.M Habakkuk 2.9-11 - Jack Werth,2017-01-01,2017,M,Morning Service,Jack Werth,Habakkuk,Habakkuk 2:9-11,2,9-11,https://archive.org/download/2017.01.01.MHabakkuk2.911JackWerth/2017.01.01.M%20Habakkuk%202.9-11%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.01.MHabakkuk2.911JackWerth/2017.01.01.M%20Habakkuk%202.9-11%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.01.MHabakkuk2.911JackWerth,56290893
2017.01.08.E2Samuel14.121JackWerth_201701,2017.01.08.E 2 Samuel 14.1-21 - Jack Werth,2017-01-08,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 14:1-21,14,1-21,https://archive.org/download/2017.01.08.E2Samuel14.121JackWerth_201701/2017.01.08.E%202%20Samuel%2014.1-21%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.08.E2Samuel14.121JackWerth_201701/2017.01.08.E%202%20Samuel%2014.1-21%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.08.E2Samuel14.121JackWerth_201701,67384653
2017.01.08.MHabakkuk2.1214JackWerth_201701,2017.01.08.M Habakkuk 2.12-14 - Jack Werth,2017-01-08,2017,M,Morning Service,Jack Werth,Habakkuk,Habakkuk 2:12-14,2,12-14,https://archive.org/download/2017.01.08.MHabakkuk2.1214JackWerth_201701/2017.01.08.M%20Habakkuk%202.12-14%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.08.MHabakkuk2.1214JackWerth_201701/2017.01.08.M%20Habakkuk%202.12-14%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.08.MHabakkuk2.1214JackWerth_201701,55592055
2017.01.15.E2Samuel14.2133JackWerth,2017.01.15.E 2 Samuel 14.21-33 - Jack Werth,2017-01-15,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 14:21-33,14,21-33,https://archive.org/download/2017.01.15.E2Samuel14.2133JackWerth/2017.01.15.E%202%20Samuel%2014.21-33%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.15.E2Samuel14.2133JackWerth/2017.01.15.E%202%20Samuel%2014.21-33%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.15.E2Samuel14.2133JackWerth,61114667
2017.01.15.MHabakkuk2.1517JackWerth,2017.01.15.M Habakkuk 2.15-17 - Jack Werth,2017-01-15,2017,M,Morning Service,Jack Werth,Habakkuk,Habakkuk 2:15-17,2,15-17,https://archive.org/download/2017.01.15.MHabakkuk2.1517JackWerth/2017.01.15.M%20Habakkuk%202.15-17%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.15.MHabakkuk2.1517JackWerth/2017.01.15.M%20Habakkuk%202.15-17%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.15.MHabakkuk2.1517JackWerth,58409914
2017.01.22.E2Samuel15.16JackWerth,2017.01.22.E 2 Samuel 15.1-6 - Jack Werth,2017-01-22,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 15:1-6,15,1-6,https://archive.org/download/2017.01.22.E2Samuel15.16JackWerth/2017.01.22.E%202%20Samuel%2015.1-6%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.22.E2Samuel15.16JackWerth/2017.01.22.E%202%20Samuel%2015.1-6%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.22.E2Samuel15.16JackWerth,55166382
2017.01.22.MHabakkuk2.1819JackWerth,2017.01.22.M Habakkuk 2.18-19 - Jack Werth,2017-01-22,2017,M,Morning Service,Jack Werth,Habakkuk,Habakkuk 2:18-19,2,18-19,https://archive.org/download/2017.01.22.MHabakkuk2.1819JackWerth/2017.01.22.M%20Habakkuk%202.18-19%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.22.MHabakkuk2.1819JackWerth/2017.01.22.M%20Habakkuk%202.18-19%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.22.MHabakkuk2.1819JackWerth,57725491
2017.01.29.E2Samuel15.712JackWerth,2017.01.29.E 2 Samuel 15.7-12 - Jack Werth,2017-01-29,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 15:7-12,15,7-12,https://archive.org/download/2017.01.29.E2Samuel15.712JackWerth/2017.01.29.E%202%20Samuel%2015.7-12%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.29.E2Samuel15.712JackWerth/2017.01.29.E%202%20Samuel%2015.7-12%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.29.E2Samuel15.712JackWerth,56142417
2017.01.29.MHabakkuk2.20JackWerth,2017.01.29.M Habakkuk 2.20 - Jack Werth,2017-01-29,2017,M,Morning Service,Jack Werth,Habakkuk,Habakkuk 2:20,2,20,https://archive.org/download/2017.01.29.MHabakkuk2.20JackWerth/2017.01.29.M%20Habakkuk%202.20%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.01.29.MHabakkuk2.20JackWerth/2017.01.29.M%20Habakkuk%202.20%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.01.29.MHabakkuk2.20JackWerth,54651162
2017.02.05.e2Samuel15.13-37-JackWerth,2017.02.05.E 2 Samuel 15.13-37 - Jack Werth,2017-02-05,2017,E,Evening Service,Jack Werth,2 Samuel,2 Samuel 15:13-37,15,13-37,https://archive.org/download/2017.02.05.e2Samuel15.13-37-JackWerth/2017.02.05.E%202%20Samuel%2015.13-37%20-%20Jack%20Werth.mp3,https://archive.org/download/2017.02.05.e2Samuel15.13-37-JackWerth/2017.02.05.E%202%20Samuel%2015.13-37%20-%20Jack%20Werth.ogg,https://archive.org/details/2017.02.05.e2Samuel15.13-37-JackWerth,70172494
